"Item_ID","Part_Name","Qty","Category","Material","Manufacturing_Method","Fastener_Size","Selected_Component","Status","Notes"
"B-001","J1_BaseTray","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL",""
"B-002","J1_MotorMount","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL",""
"B-003","J1_BearingSeat","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL",""
"B-004","J1_BearingPlaceholder","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER",""
"B-005","J1_OutputAdapter","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL",""
"B-006","J1_OutputHub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL",""
"B-007","J1_RotatingPlatform","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL",""
"B-008","J1_CyberGear_Motor","1","MOTOR_REFERENCE","Purchased motor","Purchased","","CyberGear reference","HARDWARE_VERIFY","One motor assembly: J1_CyberGear_Stator + J1_CyberGear_Rotor reference shapes. Hardware verify."
"B-010","J2_CyberGear_Motor","1","MOTOR_REFERENCE","Purchased motor","Purchased","","CyberGear reference","HARDWARE_VERIFY","One motor assembly: J2_CyberGear_Stator + J2_CyberGear_Rotor reference shapes. Hardware verify."
"B-012","J3_CyberGear_Motor","1","MOTOR_REFERENCE","Purchased motor","Purchased","","CyberGear reference","HARDWARE_VERIFY","One motor assembly: J3_CyberGear_Stator + J3_CyberGear_Rotor reference shapes. Hardware verify."
"B-014","J4_CyberGear_Motor","1","MOTOR_REFERENCE","Purchased motor","Purchased","","CyberGear reference","HARDWARE_VERIFY","One motor assembly: J4_CyberGear_Stator + J4_CyberGear_Rotor reference shapes. Hardware verify."
"B-016","J5_CyberGear_Motor","1","MOTOR_REFERENCE","Purchased motor","Purchased","","CyberGear reference","HARDWARE_VERIFY","One motor assembly: J5_CyberGear_Stator + J5_CyberGear_Rotor reference shapes. Hardware verify."
"B-018","J6_CyberGear_Motor","1","MOTOR_REFERENCE","Purchased motor","Purchased","","CyberGear reference","HARDWARE_VERIFY","One motor assembly: J6_CyberGear_Stator + J6_CyberGear_Rotor reference shapes. Hardware verify."
"B-020","J2_StatorPedestal","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-021","J2_OppositeBearingPedestal","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-022","J2_BearingRetainer","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-023","J2_BearingPlaceholder","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER","GEOMETRIC PLACEHOLDER 20x32x10"
"B-024","J2_OutputCheek","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-025","J2_OppositeForkCheek","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-026","J2_ShortOutputHub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-027","J2_ShortBearingStub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-028","Upper_CentralBox","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-029","Upper_RemovableCover","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-030","J3_StatorMount","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-031","J3_FixedBearingSupport","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-032","J3_BearingRetainer","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-033","J3_BearingPlaceholder","1","bearing","TBD metal","Purchased reference","","TBD","PLACEHOLDER","GEOMETRIC PLACEHOLDER 20x32x10"
"B-034","J3_OutputForkCheek","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-035","J3_OppositeForkCheek","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-036","J3_ShortOutputHub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-037","J3_ShortBearingStub","1","metal","TBD metal","Machining TBD","","TBD","PROVISIONAL","PROVISIONAL"
"B-038","J4_ProximalStatorHousing","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
"B-039","J4_ProximalBearingRetainer","1","printed","TBD polymer","FDM candidate","","TBD","PROVISIONAL","PROVISIONAL"
