"Fastener_ID","Joint","Part_A","Part_B","Screw_Size","Qty","Screw_Type","Part_A_Hole","Receiver_Type","Nut_Type","Washer","Insertion_Direction","Tool_Access_Direction","Tool","Serviceable","Status","Notes"
"F-J1-001","J1","J1_BaseTray","LAB_BENCH","M5","4","ISO4762 envelope / length TBD","THROUGH diameter 5.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in base","(0, 0, 1) in base","Hex key 4 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Bench thickness UNKNOWN; 20 mm fixture budget only, not a measured table or bolt length. | removal prerequisites: detached rigid subassembly;  | Nut entry None"
"F-J1-002","J1","J1_MotorMount","J1_BaseTray","M3","4","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","None / direct seat","(0, 0, -1) in base","(0, 0, 1) in base","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","Nut pockets in rib sides, accessible with base opened. | removal prerequisites: detached rigid subassembly; J1_BearingSeat, J1_BearingPlaceholder, J1_CyberGear_Stator | Nut entry (1, 0, 0)"
"F-J1-003","J1","J1_BearingSeat","J1_BaseTray","M3","4","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, -1) in base","(0, 0, 1) in base","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly;  | Nut entry (1, 0, 0)"
"F-J1-004","J1","J1_RotatingPlatform","J1_OutputHub","M4","4","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","METAL_TAPPED_THREAD","NONE","None / direct seat","(0, 0, -1) in yaw","(0, 0, 1) in yaw","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly; J2_CyberGear_Stator | Nut entry None"
"F-J1-005","J1","J1_MotorMount","J1_CyberGear_Stator","M3","9","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -0.0, -1.0) in base","(0.0, 0.0, 1.0) in base","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","9-M3 reference pattern; final length/thread engagement TBD, verify motor hardware. | removal prerequisites: detached rigid subassembly; CHILD_LINKS | Nut entry None"
"F-J1-006","J1","J1_OutputHub","J1_CyberGear_Rotor","M4","6","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -0.0, -1.0) in yaw","(0.0, 0.0, 1.0) in yaw","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","6-M4; grip envelope is not procurement length; 1 mm thread occupancy only. | removal prerequisites: detached rigid subassembly; J1_RotatingPlatform, J2_CyberGear_Stator, J2_StatorPedestal | Nut entry None"
"F-J2-001","J2","J2_StatorPedestal","J2_CyberGear_Stator","M3","9","ISO4762 envelope / length TBD","THROUGH diameter 3.4 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -1.0, -0.0) in yaw","(0.0, 1.0, 0.0) in yaw","Hex key 2.5 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","9-M3 reference pattern; final length/thread engagement TBD, verify motor hardware. | removal prerequisites: detached rigid subassembly; CHILD_LINKS | Nut entry None"
"F-J2-002","J2","J2_OutputCheek","J2_CyberGear_Rotor","M4","6","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","CYBERGEAR_THREAD","NONE","None / direct seat","(-0.0, -1.0, -0.0) in upper","(0.0, 1.0, 0.0) in upper","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY","6-M4; grip envelope is not procurement length; 1 mm thread occupancy only. | removal prerequisites: detached rigid subassembly;  | Nut entry None"
"F-J2-003","J2","J1_RotatingPlatform","J2_StatorPedestal","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, 1) in yaw","(0, 0, -1) in yaw","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly; J1_OutputHub | Nut entry RADIAL_Z"
"F-J2-004","J2","J1_RotatingPlatform","J2_OppositeBearingPedestal","M4","2","ISO4762 envelope / length TBD","THROUGH diameter 4.5 mm","LOCK_NUT","LOCK_NUT","Both ends","(0, 0, 1) in yaw","(0, 0, -1) in yaw","Hex key 3 mm","YES / staged","PROVISIONAL / LENGTH TBD / HARDWARE VERIFY"," | removal prerequisites: detached rigid subassembly; J1_OutputHub | Nut entry RADIAL_Z"
