"Feature","Part","Purpose","Interface","Status"
"5.5 mm through pattern","J1_BaseTray","Fastener clearance","F-J1-001","REVIEW"
"3.4 mm through pattern","J1_MotorMount","Fastener clearance","F-J1-002","REVIEW"
"3.4 mm through pattern","J1_BearingSeat","Fastener clearance","F-J1-003","REVIEW"
"4.5 mm through pattern","J1_RotatingPlatform","Fastener clearance","F-J1-004","REVIEW"
"3.4 mm through pattern","J1_MotorMount","Fastener clearance","F-J1-005","REVIEW"
"3.4 mm through pattern","J2_StatorPedestal","Fastener clearance","F-J2-001","REVIEW"
"3.4 mm through pattern","J3_StatorMount","Fastener clearance","F-J3-001","REVIEW"
"3.4 mm through pattern","J4_ProximalStatorHousing","Fastener clearance","F-J4-001","REVIEW"
"3.4 mm through pattern","J5_CompactStatorSupport","Fastener clearance","F-J5-001","REVIEW"
"3.4 mm through pattern","J6_OnePieceConnector","Fastener clearance","F-J6-001","REVIEW"
"4.5 mm through pattern","J1_OutputHub","Fastener clearance","F-J1-006","REVIEW"
"4.5 mm through pattern","J2_OutputCheek","Fastener clearance","F-J2-002","REVIEW"
"4.5 mm through pattern","J3_OutputForkCheek","Fastener clearance","F-J3-002","REVIEW"
"4.5 mm through pattern","J4_MotorOutputAdapter","Fastener clearance","F-J4-002","REVIEW"
"4.5 mm through pattern","J5_ShortOutputHub","Fastener clearance","F-J5-002","REVIEW"
"4.5 mm through pattern","J6_ShortOutputHub","Fastener clearance","F-J6-002","REVIEW"
"4.5 mm through pattern","J1_RotatingPlatform","Fastener clearance","F-J2-003","REVIEW"
"4.5 mm through pattern","J1_RotatingPlatform","Fastener clearance","F-J2-004","REVIEW"
"4.5 mm through pattern","J2_OutputCheek","Fastener clearance","F-J2-005","REVIEW"
"4.5 mm through pattern","J2_OppositeForkCheek","Fastener clearance","F-J2-006","REVIEW"
"3.4 mm through pattern","J2_OppositeForkCheek","Fastener clearance","F-J2-007","REVIEW"
"3.4 mm through pattern","J2_BearingRetainer","Fastener clearance","F-J2-008","REVIEW"
"4.5 mm through pattern","Forearm_CentralBox","Fastener clearance","F-J3-003","REVIEW"
"4.5 mm through pattern","Forearm_CentralBox","Fastener clearance","F-J3-004","REVIEW"
"3.4 mm through pattern","J3_OppositeForkCheek","Fastener clearance","F-J3-005","REVIEW"
"3.4 mm through pattern","J3_BearingRetainer","Fastener clearance","F-J3-006","REVIEW"
"4.5 mm through pattern","J3_StatorMount","Fastener clearance","F-J3-007","REVIEW"
"4.5 mm through pattern","J4_ProximalStatorHousing","Fastener clearance","F-J4-003","REVIEW"
"4.5 mm through pattern","J4_ProximalStatorHousing","Fastener clearance","F-J4-004","REVIEW"
"3.4 mm through pattern","J4_ProximalBearingRetainer","Fastener clearance","F-J4-005","REVIEW"
"4.5 mm through pattern","J4_ProximalBearingHousing","Fastener clearance","F-J4-006","REVIEW"
"3.4 mm through pattern","J4_DistalBearingRetainer","Fastener clearance","F-J4-007","REVIEW"
"4.5 mm through pattern","J4_DistalBearingHousing","Fastener clearance","F-J4-008","REVIEW"
"3.4 mm through pattern","J4_MotorOutputAdapter","Fastener clearance","F-J4-009","REVIEW"
"3.4 mm through pattern","J4_DistalOutputHub","Fastener clearance","F-J4-010","REVIEW"
"4.5 mm through pattern","J5_CompactStatorSupport","Fastener clearance","F-J5-003","REVIEW"
"3.4 mm through pattern","J5_RemovableBearingSeat","Fastener clearance","F-J5-004","REVIEW"
"3.4 mm through pattern","J5_BearingRetainer","Fastener clearance","F-J5-005","REVIEW"
"3.4 mm through pattern","J6_OnePieceConnector","Fastener clearance","F-J5-006","REVIEW"
"3.4 mm through pattern","J6_BearingRetainer","Fastener clearance","F-J6-003","REVIEW"
"3.4 mm through pattern","J6_RemovableToolAdapter","Fastener clearance","F-J6-004","REVIEW"
"3.4 mm through pattern","Upper_RemovableCover","Fastener clearance","F-J3-008","REVIEW"
"3.4 mm through pattern","Forearm_RemovableCover","Fastener clearance","F-J4-011","REVIEW"
"Bearing bores / tube passage","Bearing seats and hubs","Bearing fit / rotating tube","NON_FASTENER","PLACEHOLDER"
"Central / corner cable openings","Central beams and wrists","Cable / service route","NON_FASTENER","PROVISIONAL"
"Motor interface tapped holes","CyberGear references","9-M3 fixed / 6-M4 output","CYBERGEAR_THREAD","HARDWARE_VERIFY"
"Clamp lower half tap","J4_DistalOutputHub","M3 metal clamp thread","F-J4-010","HARDWARE_VERIFY"
