"Parameter","Value","Unit","Status","Notes"
"BaseHeight","180","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"UpperArm","320","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"Forearm","290","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"Wrist","60","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"Flange","86","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"Tool","90","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"MotorCount","6","count","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"FoldLane","0","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"UpperLane","0","mm","CONFIRMED_BASELINE","Frozen joint origins; local detailed dimensions provisional"
"J1_base_radius","105","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"link_wall","4.5","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"rib_thickness","4.5","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"cable_channel","14","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"upper_box_width","54","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"upper_box_height","64","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"upper_bend_offset","54","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"m3_clearance","3.4","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"m4_clearance","4.5","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"m5_clearance","5.5","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"forearm_box_width","50","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"forearm_box_height","54","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"j4_output_x","82","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"j4_torque_tube_od","22","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"j4_torque_tube_wall","2.5","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"j4_torque_tube_length","192","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"wrist_shaft_diameter","15","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"wrist_bearing_id","15","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"wrist_bearing_od","32","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"wrist_bearing_width","9","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"forearm_cable_width","8","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"forearm_cable_height","5","mm","PROVISIONAL","Frozen joint origins; local detailed dimensions provisional"
"nut_block_size_x","22","mm or thread","PROVISIONAL","User image fifth row; not measured"
"nut_block_size_y","10","mm or thread","PROVISIONAL","User image fifth row; not measured"
"nut_block_size_z","10","mm or thread","PROVISIONAL","User image fifth row; not measured"
"nut_block_thread_size","M4","mm or thread","PROVISIONAL","User image fifth row; not measured"
"nut_block_pair_A_spacing","8","mm or thread","PROVISIONAL","User image fifth row; not measured"
"nut_block_pair_B_spacing","8","mm or thread","PROVISIONAL","User image fifth row; not measured"
"nut_block_hole_depth_A","TBD","mm or thread","HARDWARE_VERIFY","User image fifth row; not measured"
"nut_block_hole_depth_B","TBD","mm or thread","HARDWARE_VERIFY","User image fifth row; not measured"
"STOW","[0.0, 55, -150, 0, 95, 0]","deg","CONFIRMED_BASELINE","No pose search or optimization this round"
"HOME","[0.0, 52, -142, 0, 90, 0]","deg","CONFIRMED_BASELINE","No pose search or optimization this round"
"SAFE_UNFOLD","[0.0, 50, -110, 0, 60, 0]","deg","CONFIRMED_BASELINE","No pose search or optimization this round"
"CAKE_APPROACH","[0, 60.4965754675011, -72.4522811069283, 0, -78.0442943605728, 0]","deg","CONFIRMED_BASELINE","No pose search or optimization this round"
"Bearing_selection","TBD","","PLACEHOLDER","Geometric envelopes only"
